input_id,input_id_type,inchikey,mapping_confidence
104227-87-4(2),CASRN,GGXKWVWZWMLJEH-UHFFFAOYSA-N,inchi
104344-23-2(4),CASRN,VHYCDWMUTMEGQY-UHFFFAOYSA-N,inchi
104376-79-6(2),CASRN,VAAUVRVFOQPIGI-GYRAYZOKSA-N,inchi
10447-39-9(2),CASRN,PZMAHNDJABQWGS-UHFFFAOYSA-N,inchi
10457-90-6(2),CASRN,RKLNONIVDFXQRX-UHFFFAOYSA-N,inchi
"104632-26-0(2), 191217-81-9(2)",CASRN,FASDKYOPVNHBLU-UHFFFAOYSA-N,inchi
10469-09-7(2),CASRN,GXFRQLQUKBSYQL-UHFFFAOYSA-N,inchi
104757-53-1(2),CASRN,XHEATHCDTLUVIM-UHFFFAOYSA-N,inchi
104795-68-8(2),CASRN,TVVXHFWWAYXBNC-UHFFFAOYSA-N,inchi
104931-87-5(2),CASRN,MKKYBZZTJQGVCD-UHFFFAOYSA-N,inchi
1049737-99-6(2),CASRN,FPLZDFIDWYDARU-AATRIKPKSA-N,inchi
104987-11-3(2),CASRN,QJJXYPPXXYFBGM-FWWCNTFXSA-N,inchi
105-05-5(2),CASRN,DSNHSQKRULAAEI-UHFFFAOYSA-N,inchi
105-06-6(2),CASRN,WEERVPDNCOGWJF-UHFFFAOYSA-N,inchi
105-08-8(2),CASRN,YIMQCDZDWXUDCA-UHFFFAOYSA-N,inchi
105-11-3(2),CASRN,FFVVRMLNYSANFV-UHFFFAOYSA-N,inchi
"105-13-5(2), 1331-81-3(2)",CASRN,MSHFRERJPWKJFX-UHFFFAOYSA-N,inchi
105-16-8(2),CASRN,SJIXRGNQPBQWMK-UHFFFAOYSA-N,inchi
105-21-5(2),CASRN,VLSVVMPLPMNWBH-UHFFFAOYSA-N,inchi
105-30-6(2),CASRN,PFNHSEQQEPMLNI-UHFFFAOYSA-N,inchi
105-34-0(2),CASRN,ANGDWNBGPBMQHW-UHFFFAOYSA-N,inchi
105-36-2(2),CASRN,PQJJJMRNHATNKG-UHFFFAOYSA-N,inchi
105-37-3(2),CASRN,FKRCODPIKNYEAC-UHFFFAOYSA-N,inchi
105-39-5(2),CASRN,VEUUMBGHMNQHGO-UHFFFAOYSA-N,inchi
105-44-2(2),CASRN,IZNNCPVDZZDSKD-UHFFFAOYSA-N,inchi
105-45-3(2),CASRN,WRQNANDWMGAFTP-UHFFFAOYSA-N,inchi
